#input=PHENOTYPE
name	dbId	dataset_name	license_name	location_name	treatments_description	year	Ear height [cm]	Ear width [cm]
CACTUAR-27	27	Sample Phenotype Data	CC-BY-SA		Untreated		181.8955	4.6163
CACTUAR-27	27	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		149.7354	4.5726
CACTUAR-28	28	Sample Phenotype Data	CC-BY-SA				168.6052	
CACTUAR-28	28	Sample Phenotype Data	CC-BY-SA		Untreated		155.4153	4.961
CACTUAR-28	28	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		158.3184	
CACTUAR-29	29	Sample Phenotype Data	CC-BY-SA				174.1893	4.5903
CACTUAR-29	29	Sample Phenotype Data	CC-BY-SA		Untreated			4.9315
CACTUAR-29	29	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		53.7278	
CACTUAR-30	30	Sample Phenotype Data	CC-BY-SA				164.4172	
CACTUAR-30	30	Sample Phenotype Data	CC-BY-SA		Untreated		175.4217	
CACTUAR-30	30	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		154.2093	4.5028
CACTUAR-31	31	Sample Phenotype Data	CC-BY-SA				160.0997	
CACTUAR-31	31	Sample Phenotype Data	CC-BY-SA		Untreated		137.3748	4.8641
CACTUAR-31	31	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		89.2252	4.4548
CACTUAR-32	32	Sample Phenotype Data	CC-BY-SA				172.0295	4.8676
CACTUAR-32	32	Sample Phenotype Data	CC-BY-SA		Untreated		166.7513	4.7645
CACTUAR-32	32	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		113.1822	
CACTUAR-33	33	Sample Phenotype Data	CC-BY-SA				164.1486	4.3802
CACTUAR-33	33	Sample Phenotype Data	CC-BY-SA		Untreated		168.958	
CACTUAR-33	33	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		137.3158	
CACTUAR-34	34	Sample Phenotype Data	CC-BY-SA				168.1495	4.3466
CACTUAR-34	34	Sample Phenotype Data	CC-BY-SA		Untreated			4.6658
CACTUAR-34	34	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		54.0005	4.3773
CACTUAR-35	35	Sample Phenotype Data	CC-BY-SA				155.2091	4.4656
CACTUAR-35	35	Sample Phenotype Data	CC-BY-SA		Untreated		169.9716	4.8014
CACTUAR-35	35	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		64.3283	4.4222
CACTUAR-36	36	Sample Phenotype Data	CC-BY-SA				150.3171	
CACTUAR-36	36	Sample Phenotype Data	CC-BY-SA		Untreated		135.5333	4.8947
CACTUAR-36	36	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		78.2676	4.4421
CACTUAR-37	37	Sample Phenotype Data	CC-BY-SA				170.5585	4.6756
CACTUAR-37	37	Sample Phenotype Data	CC-BY-SA		Untreated		162.0888	4.8181
CACTUAR-37	37	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		132.5986	
CACTUAR-38	38	Sample Phenotype Data	CC-BY-SA				140.9307	
CACTUAR-38	38	Sample Phenotype Data	CC-BY-SA		Untreated		173.9205	
CACTUAR-38	38	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		136.1335	
CACTUAR-39	39	Sample Phenotype Data	CC-BY-SA				164.1257	
CACTUAR-39	39	Sample Phenotype Data	CC-BY-SA		Untreated		150.324	4.8515
CACTUAR-39	39	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		58.2115	
CACTUAR-40	40	Sample Phenotype Data	CC-BY-SA				151.6428	4.4045
CACTUAR-40	40	Sample Phenotype Data	CC-BY-SA		Untreated		217.2084	
CACTUAR-40	40	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust			
CACTUAR-41	41	Sample Phenotype Data	CC-BY-SA				154.4627	
CACTUAR-41	41	Sample Phenotype Data	CC-BY-SA		Untreated		137.275	
CACTUAR-41	41	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		147.3256	
CACTUAR-42	42	Sample Phenotype Data	CC-BY-SA				141.7672	
CACTUAR-42	42	Sample Phenotype Data	CC-BY-SA		Untreated		169.1152	4.6628
CACTUAR-42	42	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		60.5025	
CACTUAR-43	43	Sample Phenotype Data	CC-BY-SA				170.9247	
CACTUAR-43	43	Sample Phenotype Data	CC-BY-SA		Untreated		125.4629	4.7963
CACTUAR-43	43	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		122.49	
CACTUAR-44	44	Sample Phenotype Data	CC-BY-SA				160.7222	
CACTUAR-44	44	Sample Phenotype Data	CC-BY-SA		Untreated		150.8411	
CACTUAR-44	44	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		107.4704	
CACTUAR-45	45	Sample Phenotype Data	CC-BY-SA				161.6316	4.7498
CACTUAR-45	45	Sample Phenotype Data	CC-BY-SA		Untreated		157.1723	4.2437
CACTUAR-45	45	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		63.3053	4.5299
CACTUAR-46	46	Sample Phenotype Data	CC-BY-SA				172.178	4.8101
CACTUAR-46	46	Sample Phenotype Data	CC-BY-SA		Untreated		149.2195	4.7819
CACTUAR-46	46	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		137.55	
CACTUAR-47	47	Sample Phenotype Data	CC-BY-SA				174.1697	
CACTUAR-47	47	Sample Phenotype Data	CC-BY-SA		Untreated		167.5606	4.4182
CACTUAR-47	47	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		70.1224	4.438
CACTUAR-48	48	Sample Phenotype Data	CC-BY-SA				154.1973	
CACTUAR-48	48	Sample Phenotype Data	CC-BY-SA		Untreated		173.8665	4.7902
CACTUAR-48	48	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		49.7538	4.7069
CACTUAR-49	49	Sample Phenotype Data	CC-BY-SA				96.2721	
CACTUAR-49	49	Sample Phenotype Data	CC-BY-SA		Untreated		184.3187	4.7926
CACTUAR-49	49	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		99.4988	
CACTUAR-50	50	Sample Phenotype Data	CC-BY-SA				176.3378	4.8865
CACTUAR-50	50	Sample Phenotype Data	CC-BY-SA		Untreated		145.6777	
CACTUAR-50	50	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		56.1633	
CACTUAR-51	51	Sample Phenotype Data	CC-BY-SA				144.4703	
CACTUAR-51	51	Sample Phenotype Data	CC-BY-SA		Untreated		153.7874	4.3541
CACTUAR-51	51	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		171.668	4.548
CACTUAR-52	52	Sample Phenotype Data	CC-BY-SA				156.5609	4.1651
CACTUAR-52	52	Sample Phenotype Data	CC-BY-SA		Untreated		134.1776	4.8744
CACTUAR-52	52	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		51.8509	
CACTUAR-53	53	Sample Phenotype Data	CC-BY-SA				149.1769	
CACTUAR-53	53	Sample Phenotype Data	CC-BY-SA		Untreated		172.8901	4.7282
CACTUAR-53	53	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		141.0157	
CACTUAR-54	54	Sample Phenotype Data	CC-BY-SA				160.4021	
CACTUAR-54	54	Sample Phenotype Data	CC-BY-SA		Untreated			4.5542
CACTUAR-54	54	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		44.1624	4.5004
CACTUAR-55	55	Sample Phenotype Data	CC-BY-SA				138.2445	
CACTUAR-55	55	Sample Phenotype Data	CC-BY-SA		Untreated		146.5917	
CACTUAR-55	55	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		74.4233	
CACTUAR-56	56	Sample Phenotype Data	CC-BY-SA				154.7262	
CACTUAR-56	56	Sample Phenotype Data	CC-BY-SA		Untreated		167.6486	
CACTUAR-56	56	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		52.5517	4.7682
CACTUAR-57	57	Sample Phenotype Data	CC-BY-SA				147.4204	
CACTUAR-57	57	Sample Phenotype Data	CC-BY-SA		Untreated		153.4975	
CACTUAR-57	57	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		48.337	
CACTUAR-58	58	Sample Phenotype Data	CC-BY-SA				149.1385	3.8917
CACTUAR-58	58	Sample Phenotype Data	CC-BY-SA		Untreated		158.9599	4.6813
CACTUAR-58	58	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		64.7076	4.8188
CACTUAR-59	59	Sample Phenotype Data	CC-BY-SA				168.419	
CACTUAR-59	59	Sample Phenotype Data	CC-BY-SA		Untreated		120.8053	
CACTUAR-59	59	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		136.9352	
CACTUAR-60	60	Sample Phenotype Data	CC-BY-SA				150.0902	
CACTUAR-60	60	Sample Phenotype Data	CC-BY-SA		Untreated		189.7792	4.4982
CACTUAR-60	60	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		148.7198	
CACTUAR-61	61	Sample Phenotype Data	CC-BY-SA				169.4581	
CACTUAR-61	61	Sample Phenotype Data	CC-BY-SA		Untreated		151.4922	4.605
CACTUAR-61	61	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		64.4926	
CACTUAR-62	62	Sample Phenotype Data	CC-BY-SA				139.0192	4.4976
CACTUAR-62	62	Sample Phenotype Data	CC-BY-SA		Untreated		172.0815	4.9517
CACTUAR-62	62	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		58.2118	
CACTUAR-63	63	Sample Phenotype Data	CC-BY-SA				152.4826	
CACTUAR-63	63	Sample Phenotype Data	CC-BY-SA		Untreated		208.229	
CACTUAR-63	63	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		157.1129	4.4032
CACTUAR-64	64	Sample Phenotype Data	CC-BY-SA				152.9915	4.8452
CACTUAR-64	64	Sample Phenotype Data	CC-BY-SA		Untreated		172.7128	
CACTUAR-64	64	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust			4.6581
CACTUAR-65	65	Sample Phenotype Data	CC-BY-SA				168.158	4.343
CACTUAR-65	65	Sample Phenotype Data	CC-BY-SA		Untreated		145.7484	
CACTUAR-65	65	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		142.6378	
CACTUAR-66	66	Sample Phenotype Data	CC-BY-SA				147.8534	
CACTUAR-66	66	Sample Phenotype Data	CC-BY-SA		Untreated		176.6676	3.8161
CACTUAR-66	66	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		60.0656	
CACTUAR-67	67	Sample Phenotype Data	CC-BY-SA				141.2137	
CACTUAR-67	67	Sample Phenotype Data	CC-BY-SA		Untreated		229.6542	4.6634
CACTUAR-67	67	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		68.6795	4.356
CACTUAR-68	68	Sample Phenotype Data	CC-BY-SA				171.1333	4.822
CACTUAR-68	68	Sample Phenotype Data	CC-BY-SA		Untreated		146.8277	4.5566
CACTUAR-68	68	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		58.9572	
CACTUAR-69	69	Sample Phenotype Data	CC-BY-SA				168.6288	
CACTUAR-69	69	Sample Phenotype Data	CC-BY-SA		Untreated		172.6256	
CACTUAR-69	69	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		63.4742	
CACTUAR-70	70	Sample Phenotype Data	CC-BY-SA				166.2933	4.5907
CACTUAR-70	70	Sample Phenotype Data	CC-BY-SA		Untreated		155.7816	
CACTUAR-70	70	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		56.4262	
CACTUAR-71	71	Sample Phenotype Data	CC-BY-SA				141.2031	4.3123
CACTUAR-71	71	Sample Phenotype Data	CC-BY-SA		Untreated		221.1823	4.992
CACTUAR-71	71	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust			
CACTUAR-72	72	Sample Phenotype Data	CC-BY-SA				139.9119	
CACTUAR-72	72	Sample Phenotype Data	CC-BY-SA		Untreated		163.9035	4.1675
CACTUAR-72	72	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		96.7478	
CACTUAR-73	73	Sample Phenotype Data	CC-BY-SA				174.8203	
CACTUAR-73	73	Sample Phenotype Data	CC-BY-SA		Untreated		165.1789	
CACTUAR-73	73	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		168.6782	
CACTUAR-74	74	Sample Phenotype Data	CC-BY-SA				172.2304	
CACTUAR-74	74	Sample Phenotype Data	CC-BY-SA		Untreated		180.0642	
CACTUAR-74	74	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		53.6291	
CACTUAR-75	75	Sample Phenotype Data	CC-BY-SA				155.6061	
CACTUAR-75	75	Sample Phenotype Data	CC-BY-SA		Untreated		153.531	4.2841
CACTUAR-75	75	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		53.8303	
CACTUAR-76	76	Sample Phenotype Data	CC-BY-SA				183.7864	4.0184
CACTUAR-76	76	Sample Phenotype Data	CC-BY-SA		Untreated		153.6957	
CACTUAR-76	76	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		127.131	
CACTUAR-77	77	Sample Phenotype Data	CC-BY-SA				148.6541	
CACTUAR-77	77	Sample Phenotype Data	CC-BY-SA		Untreated		175.313	4.5596
CACTUAR-77	77	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		59.344	4.5939
CACTUAR-78	78	Sample Phenotype Data	CC-BY-SA				97.6399	
CACTUAR-78	78	Sample Phenotype Data	CC-BY-SA		Untreated		155.4058	4.799
CACTUAR-78	78	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		99.8283	4.432
CACTUAR-79	79	Sample Phenotype Data	CC-BY-SA				146.0537	
CACTUAR-79	79	Sample Phenotype Data	CC-BY-SA		Untreated		146.2294	4.3467
CACTUAR-79	79	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		54.255	4.8227
CACTUAR-80	80	Sample Phenotype Data	CC-BY-SA				162.6076	5.0862
CACTUAR-80	80	Sample Phenotype Data	CC-BY-SA		Untreated		132.2106	
CACTUAR-80	80	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		78.2026	
CACTUAR-81	81	Sample Phenotype Data	CC-BY-SA				165.2148	5.2303
CACTUAR-81	81	Sample Phenotype Data	CC-BY-SA		Untreated		161.3429	4.5499
CACTUAR-81	81	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		71.8857	4.4692
CACTUAR-82	82	Sample Phenotype Data	CC-BY-SA				156.0209	4.4092
CACTUAR-82	82	Sample Phenotype Data	CC-BY-SA		Untreated		161.1871	4.6251
CACTUAR-82	82	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		140.3932	
CACTUAR-83	83	Sample Phenotype Data	CC-BY-SA				168.0256	4.669
CACTUAR-83	83	Sample Phenotype Data	CC-BY-SA		Untreated		176.9263	4.4871
CACTUAR-83	83	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		129.7678	
CACTUAR-84	84	Sample Phenotype Data	CC-BY-SA				174.6738	4.849
CACTUAR-84	84	Sample Phenotype Data	CC-BY-SA		Untreated		166.5868	4.9707
CACTUAR-84	84	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		140.7717	4.622
CACTUAR-85	85	Sample Phenotype Data	CC-BY-SA				155.9759	
CACTUAR-85	85	Sample Phenotype Data	CC-BY-SA		Untreated		177.7607	
CACTUAR-85	85	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		71.0693	
CACTUAR-86	86	Sample Phenotype Data	CC-BY-SA				163.0662	
CACTUAR-86	86	Sample Phenotype Data	CC-BY-SA		Untreated			
CACTUAR-86	86	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		58.9165	4.643
CACTUAR-87	87	Sample Phenotype Data	CC-BY-SA				153.4419	
CACTUAR-87	87	Sample Phenotype Data	CC-BY-SA		Untreated		158.7312	
CACTUAR-87	87	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		141.2778	
CACTUAR-88	88	Sample Phenotype Data	CC-BY-SA				157.896	
CACTUAR-88	88	Sample Phenotype Data	CC-BY-SA		Untreated		165.9902	
CACTUAR-88	88	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		144.9737	4.9216
CACTUAR-89	89	Sample Phenotype Data	CC-BY-SA				151.1395	4.7653
CACTUAR-89	89	Sample Phenotype Data	CC-BY-SA		Untreated		246.3604	4.7739
CACTUAR-89	89	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		59.3092	
CACTUAR-90	90	Sample Phenotype Data	CC-BY-SA				178.4289	4.3625
CACTUAR-90	90	Sample Phenotype Data	CC-BY-SA		Untreated		141.1172	
CACTUAR-90	90	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		152.9349	
CACTUAR-91	91	Sample Phenotype Data	CC-BY-SA				141.8323	4.8024
CACTUAR-91	91	Sample Phenotype Data	CC-BY-SA		Untreated		177.2633	
CACTUAR-91	91	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		61.3877	
CACTUAR-92	92	Sample Phenotype Data	CC-BY-SA				165.0305	4.2964
CACTUAR-92	92	Sample Phenotype Data	CC-BY-SA		Untreated		188.1313	4.542
CACTUAR-92	92	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		162.7604	4.7211
CACTUAR-93	93	Sample Phenotype Data	CC-BY-SA				161.5404	4.9712
CACTUAR-93	93	Sample Phenotype Data	CC-BY-SA		Untreated		182.9001	4.5731
CACTUAR-93	93	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		60.1963	4.47
CACTUAR-94	94	Sample Phenotype Data	CC-BY-SA				172.3078	4.3721
CACTUAR-94	94	Sample Phenotype Data	CC-BY-SA		Untreated		184.0899	
CACTUAR-94	94	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		133.3397	4.6551
CACTUAR-95	95	Sample Phenotype Data	CC-BY-SA				165.8246	
CACTUAR-95	95	Sample Phenotype Data	CC-BY-SA		Untreated		150.0557	
CACTUAR-95	95	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		92.7707	4.2645
CACTUAR-96	96	Sample Phenotype Data	CC-BY-SA				167.3315	
CACTUAR-96	96	Sample Phenotype Data	CC-BY-SA		Untreated		188.6957	
CACTUAR-96	96	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		149.1459	4.6007
CACTUAR-97	97	Sample Phenotype Data	CC-BY-SA				154.1361	
CACTUAR-97	97	Sample Phenotype Data	CC-BY-SA		Untreated			4.2582
CACTUAR-97	97	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		71.3519	
CACTUAR-98	98	Sample Phenotype Data	CC-BY-SA				141.9504	4.4507
CACTUAR-98	98	Sample Phenotype Data	CC-BY-SA		Untreated		164.5316	4.9831
CACTUAR-98	98	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		59.4818	
CACTUAR-99	99	Sample Phenotype Data	CC-BY-SA				168.3751	
CACTUAR-99	99	Sample Phenotype Data	CC-BY-SA		Untreated		161.8938	
CACTUAR-99	99	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		60.4399	
CACTUAR-100	100	Sample Phenotype Data	CC-BY-SA				146.1784	4.8907
CACTUAR-100	100	Sample Phenotype Data	CC-BY-SA		Untreated		237.4638	4.3184
CACTUAR-100	100	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		57.4116	
CACTUAR-101	101	Sample Phenotype Data	CC-BY-SA				160.2528	
CACTUAR-101	101	Sample Phenotype Data	CC-BY-SA		Untreated		160.6042	
CACTUAR-101	101	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		139.7378	
CACTUAR-102	102	Sample Phenotype Data	CC-BY-SA				160.5227	4.4475
CACTUAR-102	102	Sample Phenotype Data	CC-BY-SA		Untreated		163.3388	4.8582
CACTUAR-102	102	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		129.3059	4.8175
CACTUAR-103	103	Sample Phenotype Data	CC-BY-SA				160.876	
CACTUAR-103	103	Sample Phenotype Data	CC-BY-SA		Untreated		171.1433	5.1128
CACTUAR-103	103	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		122.1427	
CACTUAR-104	104	Sample Phenotype Data	CC-BY-SA				148.5751	
CACTUAR-104	104	Sample Phenotype Data	CC-BY-SA		Untreated		158.3097	4.6366
CACTUAR-104	104	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		161.5668	4.6214
CACTUAR-105	105	Sample Phenotype Data	CC-BY-SA				169.5867	4.8695
